cds,stype,name,sname,snum,dname,dnum,cname,cnum,flag,pcttest,api00,api99,target,growth,sch.wide,comp.imp,both,meals,ell,yr.rnd,mobility,acs.k3,acs.46,acs.core,pct.resp,not.hsg,hsg,some.col,col.grad,grad.sch,avg.ed,full,emer,enroll,api.stu,awards,ID_unit,Prob,Stratum
36678766068209,E,Oehl Elementary,Oehl Elementary,4170,San Bernardino City Unif,627,San Bernardino,35,NA,100,517,472,16,45,Yes,No,No,79,31,No,22,20,33,NA,83,32,35,19,12,2,2.1600000858306885,87,18,523,467,No,140,0.22388059701492538,2
37683386039374,E,Chesterton Elem,Chesterton Elementary,4494,San Diego City Unified,630,San Diego,36,NA,100,790,790,1,0,No,No,No,55,18,NA,17,19,30,NA,99,10,80,10,1,0,2.009999990463257,100,0,368,333,No,161,0.22388059701492538,2
37683386039671,E,Grant Elementar,Grant Elementary,4514,San Diego City Unified,630,San Diego,36,NA,100,799,789,1,10,Yes,No,No,38,10,NA,14,19,30,NA,85,5,18,29,26,21,3.4000000953674316,100,0,378,371,No,181,0.22388059701492538,2
37683386039697,E,Green Elementar,Green Elementary,4515,San Diego City Unified,630,San Diego,36,NA,100,762,733,3,29,Yes,No,No,54,4,NA,13,19,27,NA,99,6,17,35,24,19,3.3399999141693115,100,0,240,246,No,182,0.22388059701492538,2
37683386059604,E,Dana Elementary,Dana Elementary,4561,San Diego City Unified,630,San Diego,36,NA,99,737,789,1,-52,No,No,No,46,11,NA,NA,NA,30,NA,91,7,14,20,35,23,3.5199999809265137,95,5,425,401,No,225,0.22388059701492538,2
37683386112478,E,Nye Elementary,Nye Elementary,4595,San Diego City Unified,630,San Diego,36,NA,100,698,693,5,5,Yes,No,No,52,21,NA,11,19,33,NA,86,8,21,35,26,10,3.109999895095825,100,0,453,430,No,244,0.22388059701492538,2
34674476034862,E,Roberts Element,Roberts Elementary,3855,San Juan Unified,636,Sacramento,33,NA,99,726,723,4,3,No,No,No,29,1,NA,24,20,34,NA,67,3,23,37,26,11,3.190000057220459,88,13,284,234,No,287,0.22388059701492538,2
34674476034920,E,Starr King Elem,Starr King Elementary,3861,San Juan Unified,636,Sacramento,33,NA,99,674,673,6,1,No,Yes,No,44,6,NA,26,21,49,NA,63,3,18,38,26,14,3.2899999618530273,93,0,235,195,No,291,0.22388059701492538,2
34674476034961,E,Whitney Avenue ,Whitney Avenue Elementary,3864,San Juan Unified,636,Sacramento,33,NA,90,568,527,14,41,Yes,Yes,Yes,78,30,NA,36,20,49,NA,66,17,38,35,9,2,2.4000000953674316,75,10,321,222,No,293,0.22388059701492538,2
34674476095178,E,Coleman (Thomas,Coleman (Thomas) Elementary,3866,San Juan Unified,636,Sacramento,33,NA,100,733,740,3,-7,No,No,No,30,5,NA,17,20,49,NA,83,4,18,38,31,9,3.2200000286102295,94,6,281,260,No,295,0.22388059701492538,2
7616480730465,H,Deer Valley Hig,Deer Valley High,361,Antioch Unified,28,Contra Costa,6,NA,99,688,673,6,15,Yes,No,No,11,2,NA,13,NA,NA,30,93,5,13,33,38,12,3.380000114440918,84,16,2129,1599,No,310,0.22388059701492538,2
41688904132817,H,Half Moon Bay H,Half Moon Bay High,4965,Cabrillo Unified,97,San Mateo,40,NA,96,730,714,4,16,Yes,No,No,12,15,NA,6,NA,NA,27,83,16,9,15,38,22,3.4100000858306885,91,4,838,749,No,314,0.22388059701492538,2
19644511939164,H,Warren High,Warren High,1271,Downey Unified,187,Los Angeles,18,NA,99,613,608,10,5,No,No,No,31,21,NA,12,NA,NA,34,84,16,24,27,26,8,2.859999895095825,83,18,2062,1795,No,318,0.22388059701492538,2
36678763635844,H,San Bernardino ,San Bernardino High,4126,San Bernardino City Unif,627,San Bernardino,35,NA,98,530,517,14,13,No,No,No,74,22,NA,14,NA,NA,31,91,33,25,25,13,4,2.299999952316284,81,17,1988,1780,No,331,0.22388059701492538,2
37683383733326,H,Kearny Senior H,Kearny Senior High,4469,San Diego City Unified,630,San Diego,36,NA,98,575,557,12,18,Yes,No,No,75,27,NA,16,NA,NA,20,79,25,22,28,20,5,2.569999933242798,99,2,1285,1174,No,343,0.22388059701492538,2
34674473435930,H,Mira Loma High,Mira Loma High,3807,San Juan Unified,636,Sacramento,33,NA,96,717,694,5,23,Yes,No,No,29,16,NA,21,NA,NA,35,76,5,15,23,37,20,3.5299999713897705,88,12,1148,840,No,357,0.22388059701492538,2
9619036005565,M,South Tahoe Mid,South Tahoe Middle,562,Lake Tahoe Unified,359,El Dorado,8,NA,99,657,664,7,-7,No,No,No,44,18,NA,5,NA,32,30,83,12,18,34,23,12,3.0399999618530273,95,10,1242,1115,No,382,0.22388059701492538,2
36678766068712,M,Serrano Middle,Serrano Middle,4171,San Bernardino City Unif,627,San Bernardino,35,NA,97,569,552,12,17,Yes,No,No,67,15,NA,20,NA,NA,30,100,27,32,28,10,2,2.2899999618530273,78,27,1051,841,No,400,0.22388059701492538,2
37683386059703,M,Roosevelt Junio,Roosevelt Junior High,4568,San Diego City Unified,630,San Diego,36,NA,96,573,533,13,40,Yes,No,No,80,28,NA,24,NA,NA,24,72,20,26,22,24,7,2.700000047683716,94,8,793,687,No,411,0.22388059701492538,2
37683386099063,M,Farb Middle,Farb Middle,4586,San Diego City Unified,630,San Diego,36,NA,98,665,650,8,15,Yes,No,No,68,13,NA,20,NA,30,28,61,6,21,39,26,8,3.0799999237060547,96,7,893,774,No,417,0.22388059701492538,2
