stid,scid,group,gender,ethnicity,LEP,Spe.ed,year,scale,sp,stand
303790,Carmichael,T,Female,Hispanic,LEP,No,2,1490,no,Notapproach
304431,Johnson,C,Female,Hispanic,secondyear,No,1,1601,no,Meets
304431,Johnson,C,Female,Hispanic,secondyear,No,2,1667,no,Meets
304592,Carmichael,T,Male,Afamerican,None,No,0,1559,no,Meets
304592,Carmichael,T,Male,Afamerican,None,No,1,1601,no,Meets
304592,Carmichael,T,Male,Afamerican,None,No,2,1688,no,Meets
305197,Johnson,C,Female,Hispanic,LEP,No,1,1862,no,Masters
305197,Johnson,C,Female,Hispanic,LEP,No,2,1943,no,Masters
305292,Johnson,C,Male,Afamerican,None,No,0,1330,no,Notapproach
305313,OrangeGrove,C,Male,Afamerican,None,Yes,0,1345,no,Notapproach
305346,Carroll,T,Female,Hispanic,LEP,No,0,1559,no,Meets
305346,Carroll,T,Female,Hispanic,LEP,No,1,1697,no,Masters
305346,Carroll,T,Female,Hispanic,LEP,No,2,1739,no,Masters
305578,Carroll,T,Male,Hispanic,secondyear,No,0,1437,no,Approaches
305578,Carroll,T,Male,Hispanic,secondyear,No,1,1621,no,Meets
305750,Carroll,T,Female,Hispanic,LEP,No,2,1860,no,Masters
305834,Black,T,Male,Hispanic,LEP,No,2,1533,no,Approaches
305899,Carroll,T,Female,Hispanic,LEP,No,0,1437,no,Approaches
305899,Carroll,T,Female,Hispanic,LEP,No,1,1533,no,Approaches
305911,Carroll,T,Female,Hispanic,LEP,No,0,1345,no,Notapproach
305911,Carroll,T,Female,Hispanic,LEP,No,1,1467,no,Approaches
305911,Carroll,T,Female,Hispanic,LEP,No,2,1519,no,Approaches
305914,Black,T,Female,Hispanic,secondyear,No,0,1625,no,Masters
305914,Bussey,C,Female,Hispanic,secondyear,No,0,1625,no,Masters
305914,Black,T,Female,Hispanic,secondyear,No,1,1549,no,Approaches
305914,Bussey,C,Female,Hispanic,secondyear,No,1,1549,no,Approaches
305914,Black,T,Female,Hispanic,secondyear,No,2,1724,no,Masters
305931,Carroll,T,Female,Hispanic,None,No,0,1360,no,Approaches
305931,Carroll,T,Female,Hispanic,None,No,1,1621,no,Meets
305931,Carroll,T,Female,Hispanic,None,No,2,1594,no,Approaches
305982,Johnson,C,Female,Hispanic,None,No,2,1860,no,Masters
306038,Carroll,T,Female,Hispanic,firstyear,No,0,1314,no,Notapproach
306249,Carmichael,T,Female,Afamerican,None,No,0,1360,no,Approaches
306249,Carmichael,T,Female,Afamerican,None,No,1,1549,no,Approaches
306249,Carmichael,T,Female,Afamerican,None,No,2,1611,no,Approaches
306282,Carmichael,T,Female,Afamerican,None,No,0,1375,no,Approaches
306282,Carmichael,T,Female,Afamerican,None,No,1,1355,no,Notapproach
306282,Carmichael,T,Female,Afamerican,None,No,2,1490,no,Notapproach
306292,Carmichael,T,Female,Afamerican,None,No,0,1298,no,Notapproach
306451,Bussey,C,Male,Hispanic,LEP,Yes,0,1159,no,Notapproach
306451,Bussey,C,Male,Hispanic,LEP,Yes,1,1402,no,Notapproach
306475,Johnson,C,Male,Hispanic,LEP,Yes,2,1490,no,Notapproach
306494,Harris,C,Female,Hispanic,None,No,0,1625,no,Masters
306551,Bussey,C,Male,Hispanic,LEP,No,0,1421,no,Approaches
306726,OrangeGrove,C,Female,Hispanic,None,No,0,1405,no,Approaches
306805,Harris,C,Male,Hispanic,LEP,No,0,1360,no,Approaches
307068,Harris,C,Female,Afamerican,None,No,0,1486,no,Meets
307068,Harris,C,Female,Afamerican,None,No,1,1643,no,Meets
307068,Harris,C,Female,Afamerican,None,No,2,1770,no,Masters
307105,Johnson,C,Male,Afamerican,None,No,1,1549,no,Approaches
307233,Carmichael,T,Female,Afamerican,None,Yes,0,1533,no,Meets
307233,Carmichael,T,Female,Afamerican,None,Yes,1,1549,no,Approaches
307233,Carmichael,T,Female,Afamerican,None,Yes,2,1688,no,Meets
307348,Carmichael,T,Male,Hispanic,LEP,No,0,1472,no,Approaches
307368,Goodman,T,Female,Afamerican,None,No,0,1454,no,Approaches
307368,Goodman,T,Female,Afamerican,None,No,1,1533,no,Approaches
307369,Goodman,T,Female,Afamerican,None,No,0,1265,no,Notapproach
307490,Goodman,T,Male,Hispanic,None,No,0,1375,no,Approaches
307490,Goodman,T,Male,Hispanic,None,No,1,1474,no,Approaches
307490,Goodman,T,Male,Hispanic,None,No,2,1548,no,Approaches
307580,Goodman,T,Male,Afamerican,None,Yes,2,1500,no,Approaches
307719,Carroll,T,Female,Hispanic,LEP,No,0,1486,no,Meets
307719,Carroll,T,Female,Hispanic,LEP,No,1,1488,no,Approaches
307748,Black,T,Female,Afamerican,None,No,0,1675,no,Masters
307789,Johnson,C,Male,Afamerican,None,No,0,1314,no,Notapproach
308222,Bussey,C,Male,Afamerican,None,Yes,0,1159,no,Notapproach
308439,Carroll,T,Female,Hispanic,LEP,No,2,1688,no,Meets
308606,Carmichael,T,Female,Hispanic,LEP,No,2,1447,no,Notapproach
308705,Carroll,T,Male,Hispanic,LEP,No,0,1360,no,Approaches
308705,Carroll,T,Male,Hispanic,LEP,No,1,1549,no,Approaches
308705,Carroll,T,Male,Hispanic,LEP,No,2,1563,no,Approaches
308708,Harris,C,Male,Hispanic,LEP,No,0,1533,no,Meets
308814,OrangeGrove,C,Female,Hispanic,None,No,0,1486,no,Meets
308814,OrangeGrove,C,Female,Hispanic,None,No,1,1589,no,Meets
308814,OrangeGrove,C,Female,Hispanic,None,No,2,1611,no,Approaches
308827,Harris,C,Male,Hispanic,LEP,Yes,0,1345,no,Notapproach
308827,Harris,C,Male,Hispanic,LEP,Yes,1,1402,no,Notapproach
308827,Harris,C,Male,Hispanic,LEP,Yes,2,1462,no,Notapproach
308829,Black,T,Female,Hispanic,LEP,No,2,1770,no,Masters
308997,Johnson,C,Male,Hispanic,LEP,No,2,1770,no,Masters
309663,Carmichael,T,Male,Hispanic,LEP,No,2,1417,no,Notapproach
309845,OrangeGrove,C,Female,Afamerican,None,No,0,1345,no,Notapproach
309899,Carroll,T,Female,Afamerican,None,No,1,1565,no,Approaches
309899,Carroll,T,Female,Afamerican,None,No,2,1594,no,Approaches
309928,Johnson,C,Male,twomore,None,No,0,1596,no,Masters
310097,Black,T,Male,Afamerican,None,No,0,1511,no,Meets
310097,Black,T,Male,Afamerican,None,No,1,1549,no,Approaches
310097,Black,T,Male,Afamerican,None,No,2,1770,no,Masters
310102,Black,T,Female,Afamerican,None,No,0,1345,no,Notapproach
310102,Black,T,Female,Afamerican,None,No,1,1371,no,Notapproach
310102,Black,T,Female,Afamerican,None,No,2,1519,no,Approaches
310266,Bussey,C,Female,Hispanic,LEP,No,0,1472,no,Approaches
310266,Bussey,C,Female,Hispanic,LEP,No,1,1621,no,Meets
310266,Bussey,C,Female,Hispanic,LEP,No,2,1594,no,Approaches
310340,Black,T,Female,Hispanic,firstyear,No,0,1675,no,Masters
310340,Black,T,Female,Hispanic,firstyear,No,1,1643,no,Meets
310390,OrangeGrove,C,Female,Hispanic,LEP,No,2,1724,no,Masters
310421,Harris,C,Male,Hispanic,None,No,0,1533,no,Meets
310516,Bussey,C,Male,Hispanic,LEP,No,0,1472,no,Approaches
310545,OrangeGrove,C,Female,Hispanic,secondyear,No,0,1675,no,Masters
310545,OrangeGrove,C,Female,Hispanic,secondyear,No,1,1733,no,Masters
310545,OrangeGrove,C,Female,Hispanic,secondyear,No,2,1809,no,Masters
310647,Johnson,C,Male,Hispanic,LEP,No,2,1500,no,Approaches
310936,Carmichael,T,Male,Hispanic,None,No,0,1454,no,Approaches
310953,Carmichael,T,Male,Hispanic,None,No,0,1360,no,Approaches
310980,Black,T,Male,Afamerican,None,No,0,1298,no,Notapproach
310980,Black,T,Male,Afamerican,None,No,1,1474,no,Approaches
311106,Carroll,T,Female,Hispanic,LEP,No,2,1548,no,Approaches
311151,Johnson,C,Male,Afamerican,None,Yes,2,1350,no,Notapproach
311155,Johnson,C,Female,Afamerican,None,No,2,1350,no,Notapproach
311511,OrangeGrove,C,Female,Hispanic,LEP,No,2,1688,no,Meets
311542,Harris,C,Female,Afamerican,None,No,0,1314,no,Notapproach
311542,Harris,C,Female,Afamerican,None,No,1,1518,no,Approaches
311673,OrangeGrove,C,Female,Hispanic,LEP,No,2,1770,no,Masters
311746,OrangeGrove,C,Female,Hispanic,LEP,No,0,1345,no,Notapproach
311859,Black,T,Male,Hispanic,None,No,0,1228,no,Notapproach
311859,Carmichael,T,Male,Hispanic,None,No,0,1228,no,Notapproach
311859,Black,T,Male,Hispanic,None,No,1,1474,no,Approaches
311859,Carmichael,T,Male,Hispanic,None,No,1,1474,no,Approaches
311859,Bussey,C,Male,Hispanic,None,No,1,1474,no,Approaches
311859,Black,T,Male,Hispanic,None,No,2,1432,no,Notapproach
311859,Carmichael,T,Male,Hispanic,None,No,2,1432,no,Notapproach
312008,Black,T,Female,Afamerican,None,Yes,0,1228,no,Notapproach
312008,Black,T,Female,Afamerican,None,Yes,1,1299,no,Notapproach
312008,Black,T,Female,Afamerican,None,Yes,2,1283,no,Notapproach
312009,Black,T,Female,Afamerican,None,No,1,1565,no,Approaches
312009,Black,T,Female,Afamerican,None,No,2,1500,no,Approaches
312172,Black,T,Male,Hispanic,firstyear,No,0,1437,no,Approaches
312172,Black,T,Male,Hispanic,firstyear,No,1,1643,no,Meets
312172,Black,T,Male,Hispanic,firstyear,No,2,1739,no,Masters
312181,Goodman,T,Male,Afamerican,None,No,0,1375,no,Approaches
312300,Johnson,C,Female,Hispanic,LEP,No,0,1330,no,Notapproach
312556,Johnson,C,Male,Afamerican,None,No,0,1390,no,Approaches
312556,Johnson,C,Male,Afamerican,None,No,1,1549,no,Approaches
312586,Johnson,C,Male,Hispanic,None,No,2,1490,no,Notapproach
312600,Carmichael,T,Male,Hispanic,LEP,No,0,1228,no,Notapproach
312641,Black,T,Female,Hispanic,LEP,No,2,1548,no,Approaches
312672,OrangeGrove,C,Female,Hispanic,LEP,No,0,1625,no,Masters
312736,Bussey,C,Male,Hispanic,None,No,0,1208,no,Notapproach
312736,Bussey,C,Male,Hispanic,None,No,1,1371,no,Notapproach
312738,Black,T,Female,Afamerican,None,No,0,1675,no,Masters
312777,Carmichael,T,Male,Hispanic,None,No,0,1675,no,Masters
312777,Carmichael,T,Male,Hispanic,None,No,1,1697,no,Masters
312777,Carmichael,T,Male,Hispanic,None,No,2,2078,no,Masters
312870,Bussey,C,Male,Afamerican,None,Yes,0,1596,no,Masters
312885,Bussey,C,Male,Hispanic,LEP,Yes,0,1265,no,Notapproach
312897,Carmichael,T,Female,Afamerican,None,No,0,1375,no,Approaches
312966,Carmichael,T,Male,Hispanic,None,No,0,1298,no,Notapproach
312966,Carmichael,T,Male,Hispanic,None,No,1,1417,no,Notapproach
312966,Carmichael,T,Male,Hispanic,None,No,2,1417,no,Notapproach
312987,Black,T,Male,Hispanic,LEP,No,0,1375,no,Approaches
313025,Goodman,T,Female,Afamerican,None,Yes,1,1337,no,Notapproach
313041,Johnson,C,Male,Afamerican,None,No,1,1371,no,Notapproach
313041,Johnson,C,Male,Afamerican,None,No,2,1462,no,Notapproach
313131,Bussey,C,Male,Hispanic,None,Yes,0,1437,no,Approaches
313155,Carmichael,T,Female,Afamerican,None,No,0,1486,no,Meets
313155,Carmichael,T,Female,Afamerican,None,No,1,1549,no,Approaches
313155,Carmichael,T,Female,Afamerican,None,No,2,1739,no,Masters
313158,Bussey,C,Female,Hispanic,None,No,0,1314,no,Notapproach
313376,Johnson,C,Male,Hispanic,LEP,No,1,1697,no,Masters
313468,Carmichael,T,Male,Hispanic,firstyear,No,1,1782,no,Masters
313468,Carmichael,T,Male,Hispanic,firstyear,No,2,1770,no,Masters
313709,Carmichael,T,Male,Hispanic,LEP,No,1,1697,no,Masters
313709,Carmichael,T,Male,Hispanic,LEP,No,2,1739,no,Masters
313833,Harris,C,Female,Hispanic,LEP,No,1,1355,no,Notapproach
313833,Harris,C,Female,Hispanic,LEP,No,2,1611,no,Approaches
313971,Carroll,T,Female,Hispanic,LEP,No,1,1533,no,Approaches
313971,Carroll,T,Female,Hispanic,LEP,No,2,1625,no,Meets
314489,Johnson,C,Male,Afamerican,None,No,2,1667,no,Meets
315257,Johnson,C,Male,Afamerican,None,No,1,1670,no,Masters
315841,OrangeGrove,C,Female,Hispanic,LEP,No,1,1474,no,Approaches
316022,Black,T,Female,Afamerican,None,No,1,1474,no,Approaches
316267,OrangeGrove,C,Male,Hispanic,None,No,1,1446,no,Notapproach
316267,OrangeGrove,C,Male,Hispanic,None,No,2,1578,no,Approaches
316456,Goodman,T,Male,Hispanic,LEP,No,1,1371,no,Notapproach
316456,Goodman,T,Male,Hispanic,LEP,No,2,1447,no,Notapproach
316494,Black,T,Female,Hispanic,None,No,1,1621,no,Meets
316887,Johnson,C,Female,Hispanic,None,No,1,1474,no,Approaches
316908,OrangeGrove,C,Male,Hispanic,LEP,No,1,1670,no,Masters
316908,OrangeGrove,C,Male,Hispanic,LEP,No,2,1809,no,Masters
317187,Carroll,T,Female,Hispanic,LEP,No,1,1488,no,Approaches
317187,Carroll,T,Female,Hispanic,LEP,No,2,1500,no,Approaches
317201,Carroll,T,Male,Hispanic,LEP,No,1,1518,no,Approaches
317272,Carmichael,T,Male,Hispanic,None,Yes,1,1782,no,Masters
317272,Carmichael,T,Male,Hispanic,None,Yes,2,1770,no,Masters
317328,Johnson,C,Female,Hispanic,None,No,1,1643,no,Meets
317473,Bussey,C,Male,Hispanic,LEP,No,1,1474,no,Approaches
317489,Carroll,T,Male,Hispanic,firstyear,No,1,1733,no,Masters
317489,Carroll,T,Male,Hispanic,firstyear,No,2,1943,no,Masters
318324,Carroll,T,Female,Hispanic,firstyear,No,1,1670,no,Masters
318324,Carroll,T,Female,Hispanic,firstyear,No,2,1647,no,Meets
318497,Johnson,C,Female,Hispanic,secondyear,No,1,1565,no,Approaches
318781,Black,T,Female,Hispanic,LEP,No,1,1355,no,Notapproach
318781,Black,T,Female,Hispanic,LEP,No,2,1368,no,Notapproach
318976,Carmichael,T,Male,Hispanic,LEP,No,1,1431,no,Notapproach
318976,Carmichael,T,Male,Hispanic,LEP,No,2,1462,no,Notapproach
318984,Johnson,C,Female,Hispanic,secondyear,No,1,1862,no,Masters
318984,Johnson,C,Female,Hispanic,secondyear,No,2,1943,no,Masters
319449,Harris,C,Female,Hispanic,firstyear,No,1,1621,no,Meets
319449,Harris,C,Female,Hispanic,firstyear,No,2,1860,no,Masters
319546,Harris,C,Male,Afamerican,None,No,1,1549,no,Approaches
319546,Harris,C,Male,Afamerican,None,No,2,1611,no,Approaches
319685,Harris,C,Male,Hispanic,LEP,No,1,1503,no,Approaches
319728,Black,T,Female,Afamerican,None,No,1,1402,no,Notapproach
319730,Carmichael,T,Male,Hispanic,LEP,No,1,1474,no,Approaches
319730,Carmichael,T,Male,Hispanic,LEP,No,2,1563,no,Approaches
319862,Goodman,T,Female,Afamerican,None,No,1,1533,no,Approaches
319898,Harris,C,Male,Afamerican,None,No,1,1503,no,Approaches
319898,Harris,C,Male,Afamerican,None,No,2,1476,no,Notapproach
319930,OrangeGrove,C,Male,Hispanic,LEP,No,2,1533,no,Approaches
319970,Carmichael,T,Female,Hispanic,secondyear,No,1,1643,no,Meets
319970,Carmichael,T,Female,Hispanic,secondyear,No,2,1739,no,Masters
319983,Black,T,Female,Afamerican,None,No,1,1319,no,Notapproach
319986,Bussey,C,Female,Hispanic,LEP,No,1,1643,no,Meets
319994,Bussey,C,Male,Hispanic,secondyear,No,1,1697,no,Masters
319994,Bussey,C,Male,Hispanic,secondyear,No,2,1688,no,Meets
320134,Bussey,C,Male,Hispanic,LEP,No,1,1601,no,Meets
320134,Bussey,C,Male,Hispanic,LEP,No,2,1943,no,Masters
320139,Johnson,C,Male,Afamerican,None,No,2,1667,no,Meets
320265,Carmichael,T,Female,Hispanic,None,Yes,1,1549,no,Approaches
320265,Carmichael,T,Female,Hispanic,None,Yes,2,1667,no,Meets
321072,Bussey,C,Male,Hispanic,LEP,No,1,1402,no,Notapproach
321072,Bussey,C,Male,Hispanic,LEP,No,2,1447,no,Notapproach
321146,Bussey,C,Male,twomore,None,Yes,1,1355,no,Notapproach
321152,Bussey,C,Female,twomore,None,Yes,1,1387,no,Notapproach
321269,Johnson,C,Female,Hispanic,None,No,1,1565,no,Approaches
321340,Johnson,C,Female,Afamerican,None,No,2,1462,no,Notapproach
321574,Black,T,Female,Hispanic,None,No,1,1431,no,Notapproach
321574,Bussey,C,Female,Hispanic,None,No,1,1431,no,Notapproach
321574,Black,T,Female,Hispanic,None,No,2,1490,no,Notapproach
321576,OrangeGrove,C,Female,Hispanic,LEP,No,1,1621,no,Meets
321576,OrangeGrove,C,Female,Hispanic,LEP,No,2,1739,no,Masters
321597,Black,T,Female,Afamerican,None,No,1,1467,no,Approaches
322008,Johnson,C,Male,Afamerican,None,No,1,1503,no,Approaches
322008,Johnson,C,Male,Afamerican,None,No,2,1462,no,Notapproach
322063,Harris,C,Female,Afamerican,None,No,1,1431,no,Notapproach
322156,Bussey,C,Female,Afamerican,None,No,1,1431,no,Notapproach
322157,Goodman,T,Male,Hispanic,LEP,No,1,1533,no,Approaches
322157,Goodman,T,Male,Hispanic,LEP,No,2,1625,no,Meets
322284,Bussey,C,Female,Hispanic,None,No,1,1467,no,Approaches
322357,Harris,C,Female,Hispanic,LEP,No,1,1474,no,Approaches
322357,Harris,C,Female,Hispanic,LEP,No,2,1578,no,Approaches
322503,Carmichael,T,Male,Afamerican,None,No,1,1589,no,Meets
322503,Carmichael,T,Male,Afamerican,None,No,2,1809,no,Masters
322574,Carmichael,T,Male,Afamerican,None,Yes,2,1402,no,Notapproach
322673,Bussey,C,Male,Hispanic,None,Yes,1,1299,no,Notapproach
322673,Bussey,C,Male,Hispanic,None,Yes,2,1385,no,Notapproach
322956,Bussey,C,Male,White,firstyear,No,1,1670,no,Masters
323068,Carmichael,T,Male,Afamerican,None,No,1,1601,no,Meets
323068,Carmichael,T,Male,Afamerican,None,No,2,1724,no,Masters
323139,Goodman,T,Male,Afamerican,None,No,1,1355,no,Notapproach
323197,Bussey,C,Male,Afamerican,None,No,1,1337,no,Notapproach
323208,Black,T,Female,Hispanic,None,No,1,1371,no,Notapproach
323208,Black,T,Female,Hispanic,None,No,2,1417,no,Notapproach
323223,Carmichael,T,Male,Afamerican,None,No,1,1446,no,Notapproach
323223,Carmichael,T,Male,Afamerican,None,No,2,1667,no,Meets
323257,Bussey,C,Male,Hispanic,LEP,No,1,1589,no,Meets
323257,Bussey,C,Male,Hispanic,LEP,No,2,1724,no,Masters
323323,Black,T,Female,Hispanic,LEP,No,1,1533,no,Approaches
323336,Black,T,Female,Afamerican,None,No,1,1222,no,Notapproach
323394,Carroll,T,Male,Hispanic,LEP,No,1,1337,no,Notapproach
323394,Carroll,T,Male,Hispanic,LEP,No,2,1385,no,Notapproach
323616,Carroll,T,Female,Hispanic,None,No,1,1222,no,Notapproach
323851,Carmichael,T,Male,Afamerican,None,No,1,1371,no,Notapproach
323851,Carmichael,T,Male,Afamerican,None,No,2,1519,no,Approaches
324135,OrangeGrove,C,Male,Hispanic,None,No,1,1488,no,Approaches
324135,OrangeGrove,C,Male,Hispanic,None,No,2,1476,no,Notapproach
324179,Black,T,Male,Afamerican,None,No,1,1488,no,Approaches
324237,Johnson,C,Male,White,LEP,No,1,1670,no,Masters
324322,Carmichael,T,Male,Asian,LEP,No,1,1565,no,Approaches
324322,Carmichael,T,Male,Asian,LEP,No,2,1943,no,Masters
324412,Harris,C,Female,Hispanic,None,No,1,1319,no,Notapproach
324425,Johnson,C,Female,White,None,No,1,1337,no,Notapproach
324545,Black,T,Male,Hispanic,LEP,No,1,1467,no,Approaches
324557,Harris,C,Male,Hispanic,None,No,1,1371,no,Notapproach
324799,Carmichael,T,Female,Hispanic,None,No,1,1474,no,Approaches
324799,Carmichael,T,Female,Hispanic,None,No,2,1476,no,Notapproach
324800,Black,T,Male,Hispanic,LEP,No,1,1371,no,Notapproach
324815,Goodman,T,Female,Hispanic,LEP,No,1,1601,no,Meets
324840,Carmichael,T,Female,Hispanic,None,No,1,1402,no,Notapproach
324901,Black,T,Male,Afamerican,None,No,1,1299,no,Notapproach
325054,Goodman,T,Female,Hispanic,None,No,2,1943,no,Masters
325091,Carmichael,T,Female,Afamerican,None,No,2,1667,no,Meets
326006,Black,T,Female,Hispanic,LEP,No,2,1548,no,Approaches
326450,Johnson,C,Male,Afamerican,None,Yes,2,1283,no,Notapproach
327988,OrangeGrove,C,Female,Hispanic,LEP,No,2,1500,no,Approaches
328008,Johnson,C,Male,Hispanic,LEP,No,2,1943,no,Masters
328335,Carroll,T,Male,White,None,Yes,2,1724,no,Masters
328540,Harris,C,Female,Afamerican,None,No,2,1519,no,Approaches
328718,Johnson,C,Male,Afamerican,None,No,2,1647,no,Meets
328878,Carmichael,T,Female,Hispanic,LEP,No,2,1809,no,Masters
328958,Johnson,C,Female,Hispanic,LEP,No,2,1625,no,Meets
329300,Johnson,C,Female,Afamerican,None,No,2,1368,no,Notapproach
329394,Johnson,C,Male,Afamerican,None,No,2,1476,no,Notapproach
330064,OrangeGrove,C,Female,Hispanic,LEP,No,2,1594,no,Approaches
330534,Harris,C,Male,Hispanic,None,No,2,1647,no,Meets
330754,Johnson,C,Male,Hispanic,LEP,No,2,1647,no,Meets
330854,Bussey,C,Female,Afamerican,None,No,2,1647,no,Meets
331109,Carroll,T,Male,Hispanic,secondyear,No,2,1770,no,Masters
331110,Black,T,Female,Hispanic,LEP,Yes,2,1447,no,Notapproach
331285,Black,T,Male,White,None,Yes,2,1330,no,Notapproach
332148,Harris,C,Male,Afamerican,None,No,2,1578,no,Approaches
332166,Black,T,Female,twomore,None,No,2,1578,no,Approaches
332429,OrangeGrove,C,Female,Hispanic,None,No,2,1563,no,Approaches
333033,OrangeGrove,C,Male,Hispanic,LEP,No,2,1724,no,Masters
333059,Black,T,Male,Hispanic,LEP,No,2,1519,no,Approaches
333870,OrangeGrove,C,Female,Hispanic,None,No,2,1667,no,Meets
333950,Johnson,C,Female,Hispanic,None,No,2,1647,no,Meets
334156,Johnson,C,Male,Afamerican,None,No,2,1462,no,Notapproach
334713,Harris,C,Male,Hispanic,LEP,No,2,1385,no,Notapproach
334719,Harris,C,Male,Afamerican,None,No,2,1667,no,Meets
334940,Johnson,C,Male,Afamerican,None,No,2,1688,no,Meets
335432,Carroll,T,Male,Hispanic,LEP,No,2,1724,no,Masters
335729,Carmichael,T,Male,Hispanic,None,No,2,1402,no,Notapproach
335837,Harris,C,Male,Hispanic,LEP,No,2,1385,no,Notapproach
335917,Johnson,C,Male,Afamerican,None,No,2,1330,no,Notapproach
336347,OrangeGrove,C,Female,Hispanic,None,No,2,1724,no,Masters
336582,Harris,C,Male,Afamerican,None,No,2,1647,no,Meets
336753,Johnson,C,Female,Afamerican,None,No,2,1578,no,Approaches
336940,Carroll,T,Male,Hispanic,LEP,No,2,1563,no,Approaches
337104,OrangeGrove,C,Male,Hispanic,None,No,2,1402,no,Notapproach
868724,Carmichael,T,Male,Hispanic,LEP,No,0,1092,no,Notapproach
868724,Carmichael,T,Male,Hispanic,LEP,No,1,1371,no,Notapproach
879796,Carroll,T,Female,Hispanic,LEP,No,0,1421,no,Approaches
879796,Carroll,T,Female,Hispanic,LEP,No,1,1549,no,Approaches
879796,Carroll,T,Female,Hispanic,LEP,No,2,1533,no,Approaches
880816,Bussey,C,Female,Hispanic,LEP,No,0,1360,no,Approaches
881245,Carroll,T,Female,Hispanic,LEP,No,0,1375,no,Approaches
881245,Carroll,T,Female,Hispanic,LEP,No,1,1589,no,Meets
901197,Goodman,T,Male,Hispanic,None,Yes,0,1228,no,Notapproach
901197,Goodman,T,Male,Hispanic,None,Yes,1,1387,no,Notapproach
901848,Black,T,Female,Hispanic,None,No,0,1421,no,Approaches
904375,Black,T,Male,Hispanic,LEP,Yes,0,1298,no,Notapproach
904375,Black,T,Male,Hispanic,LEP,Yes,1,1337,no,Notapproach
904375,Black,T,Male,Hispanic,LEP,Yes,2,1594,no,Approaches
904693,Black,T,Female,Afamerican,None,No,0,1298,no,Notapproach
904725,Black,T,Female,Afamerican,None,Yes,0,1345,no,Notapproach
904830,Harris,C,Male,Afamerican,None,No,0,1228,no,Notapproach
906608,Carroll,T,Male,Hispanic,LEP,Yes,0,1129,no,Notapproach
906608,Carroll,T,Male,Hispanic,LEP,Yes,1,1371,no,Notapproach
906608,Carroll,T,Male,Hispanic,LEP,Yes,2,1432,no,Notapproach
909344,Bussey,C,Male,Hispanic,LEP,No,0,1405,no,Approaches
910054,Goodman,T,Male,Hispanic,None,Yes,0,1314,no,Notapproach
910054,Goodman,T,Male,Hispanic,None,Yes,1,1371,no,Notapproach
910320,Carroll,T,Male,Hispanic,LEP,No,0,1472,no,Approaches
910320,Carroll,T,Male,Hispanic,LEP,No,1,1643,no,Meets
910320,Carroll,T,Male,Hispanic,LEP,No,2,1533,no,Approaches
910542,Black,T,Male,Hispanic,LEP,No,1,1518,no,Approaches
910542,Black,T,Male,Hispanic,LEP,No,2,1548,no,Approaches
