id,var,grade,d_math,d_hyp,grp
38202,38,3,1,0,math
38802,38,4,1,0,math
38802,43,6,1,0,math
40501,42,3,1,0,math
40501,52,6,1,0,math
40702,46,2,1,0,math
40702,52,4,1,0,math
40702,60,6,1,0,math
42504,47,4,1,0,math
42504,64,6,1,0,math
42505,50,3,1,0,math
42505,60,5,1,0,math
42505,53,7,1,0,math
43103,62,6,1,0,math
43103,66,8,1,0,math
45201,40,2,1,0,math
45201,63,4,1,0,math
45201,64,6,1,0,math
45903,65,3,1,0,math
45903,66,6,1,0,math
46201,51,3,1,0,math
46201,66,5,1,0,math
46201,79,7,1,0,math
47201,58,2,1,0,math
47201,63,4,1,0,math
47402,45,4,1,0,math
47402,54,6,1,0,math
47601,32,2,1,0,math
47601,48,4,1,0,math
47601,58,8,1,0,math
48502,29,2,1,0,math
48502,58,6,1,0,math
49501,35,2,1,0,math
49501,50,4,1,0,math
53601,38,3,1,0,math
53601,45,6,1,0,math
55201,65,5,1,0,math
55201,69,7,1,0,math
55801,43,4,1,0,math
55801,52,6,1,0,math
55801,63,7,1,0,math
56301,24,3,1,0,math
56301,45,5,1,0,math
56301,55,7,1,0,math
56302,37,3,1,0,math
56302,46,5,1,0,math
57604,41,2,1,0,math
57604,67,4,1,0,math
58503,25,3,1,0,math
58503,50,6,1,0,math
62102,47,3,1,0,math
62102,70,6,1,0,math
62103,14,2,1,0,math
62103,32,3,1,0,math
62103,45,5,1,0,math
62202,60,3,1,0,math
62202,66,5,1,0,math
62703,32,2,1,0,math
62703,64,6,1,0,math
64002,43,2,1,0,math
64002,51,6,1,0,math
65601,55,3,1,0,math
65601,62,6,1,0,math
65701,55,4,1,0,math
65701,71,6,1,0,math
66002,40,2,1,0,math
66002,66,6,1,0,math
70801,44,4,1,0,math
70801,52,6,1,0,math
73602,42,2,1,0,math
73602,51,4,1,0,math
74602,39,2,1,0,math
74602,53,5,1,0,math
75603,20,2,1,0,math
75603,34,5,1,0,math
76402,51,4,1,0,math
76402,45,6,1,0,math
76403,44,3,1,0,math
76403,58,5,1,0,math
80102,36,3,1,0,math
80102,55,5,1,0,math
80102,65,8,1,0,math
82901,41,3,1,0,math
82901,46,6,1,0,math
83001,39,3,1,0,math
83001,48,6,1,0,math
83101,26,2,1,0,math
83101,38,4,1,0,math
83101,43,6,1,0,math
83101,50,8,1,0,math
83102,43,3,1,0,math
83102,44,5,1,0,math
83602,49,3,1,0,math
83602,58,6,1,0,math
83602,61,8,1,0,math
83603,34,3,1,0,math
83603,53,5,1,0,math
83603,52,6,1,0,math
85402,41,4,1,0,math
85402,51,5,1,0,math
87501,48,4,1,0,math
87501,51,6,1,0,math
87901,38,3,1,0,math
87901,49,4,1,0,math
88902,27,2,1,0,math
88902,37,3,1,0,math
88902,49,7,1,0,math
89303,42,3,1,0,math
89303,47,5,1,0,math
89803,41,3,1,0,math
89803,68,6,1,0,math
90002,60,4,1,0,math
90002,65,6,1,0,math
92303,48,3,1,0,math
92303,46,6,1,0,math
93202,30,3,1,0,math
93202,43,5,1,0,math
93901,34,3,1,0,math
93901,46,5,1,0,math
94002,30,2,1,0,math
94002,61,5,1,0,math
94002,68,7,1,0,math
96201,30,2,1,0,math
96201,51,6,1,0,math
96201,50,7,1,0,math
96202,37,4,1,0,math
96202,46,5,1,0,math
98102,45,2,1,0,math
98102,60,5,1,0,math
98102,64,6,1,0,math
101701,43,3,1,0,math
101701,49,5,1,0,math
101701,46,7,1,0,math
101702,22,2,1,0,math
101702,50,4,1,0,math
101702,49,6,1,0,math
101702,57,8,1,0,math
103501,29,2,1,0,math
103501,44,6,1,0,math
103501,43,8,1,0,math
108201,58,2,1,0,math
108201,69,4,1,0,math
113001,42,3,1,0,math
113001,70,5,1,0,math
113001,67,7,1,0,math
113201,47,4,1,0,math
113201,62,5,1,0,math
114101,18,2,1,0,math
114101,50,6,1,0,math
114101,46,7,1,0,math
114702,49,4,1,0,math
114702,55,5,1,0,math
115901,35,2,1,0,math
115901,48,5,1,0,math
115901,72,8,1,0,math
116002,37,2,1,0,math
116002,61,8,1,0,math
116004,52,3,1,0,math
116004,65,5,1,0,math
118402,51,3,1,0,math
118402,65,4,1,0,math
118402,66,7,1,0,math
122301,24,3,1,0,math
122301,42,4,1,0,math
124201,35,3,1,0,math
124201,45,5,1,0,math
124402,29,3,1,0,math
124402,41,5,1,0,math
124402,44,7,1,0,math
125002,37,2,1,0,math
125002,44,4,1,0,math
125002,47,6,1,0,math
126101,41,2,1,0,math
126101,47,4,1,0,math
126101,62,6,1,0,math
129502,37,3,1,0,math
129502,43,5,1,0,math
129601,23,2,1,0,math
129601,42,4,1,0,math
129601,42,6,1,0,math
129601,49,7,1,0,math
129602,43,3,1,0,math
132301,40,3,1,0,math
132301,64,4,1,0,math
132402,28,3,1,0,math
132402,45,6,1,0,math
132402,49,7,1,0,math
132403,40,3,1,0,math
132403,40,5,1,0,math
132403,53,6,1,0,math
136001,47,6,1,0,math
138901,39,2,1,0,math
138901,44,4,1,0,math
138901,47,6,1,0,math
138902,38,3,1,0,math
138902,45,5,1,0,math
139902,46,2,1,0,math
139902,71,6,1,0,math
139902,77,8,1,0,math
140004,24,2,1,0,math
140004,52,5,1,0,math
140104,34,3,1,0,math
140104,45,6,1,0,math
140901,19,2,1,0,math
140901,47,3,1,0,math
140901,56,5,1,0,math
140902,41,2,1,0,math
140902,48,6,1,0,math
141001,47,3,1,0,math
141001,61,5,1,0,math
141601,49,3,1,0,math
141601,49,5,1,0,math
141603,37,2,1,0,math
141603,50,6,1,0,math
143901,44,3,1,0,math
143901,53,5,1,0,math
144004,44,3,1,0,math
144004,44,5,1,0,math
144004,55,7,1,0,math
153203,54,2,1,0,math
153203,66,4,1,0,math
153203,66,6,1,0,math
153204,14,2,1,0,math
153204,25,4,1,0,math
153801,46,3,1,0,math
153801,48,6,1,0,math
155902,27,2,1,0,math
155902,39,5,1,0,math
156401,52,2,1,0,math
156401,59,4,1,0,math
156605,49,3,1,0,math
156605,63,5,1,0,math
158701,60,4,1,0,math
158701,63,6,1,0,math
158702,44,2,1,0,math
158702,63,4,1,0,math
158702,67,6,1,0,math
158702,75,8,1,0,math
159605,24,4,1,0,math
159605,31,5,1,0,math
159606,28,3,1,0,math
159606,38,5,1,0,math
159801,18,2,1,0,math
159801,51,6,1,0,math
159801,54,8,1,0,math
165501,32,3,1,0,math
165501,43,6,1,0,math
165602,39,4,1,0,math
165602,64,5,1,0,math
165602,57,7,1,0,math
165701,25,3,1,0,math
165701,41,5,1,0,math
165701,40,7,1,0,math
165801,56,4,1,0,math
165801,59,5,1,0,math
165801,66,7,1,0,math
166602,40,4,1,0,math
166602,55,6,1,0,math
166603,18,2,1,0,math
166603,33,4,1,0,math
167501,49,2,1,0,math
167501,62,4,1,0,math
167501,78,6,1,0,math
167502,57,2,1,0,math
167502,70,4,1,0,math
167502,76,6,1,0,math
169003,45,4,1,0,math
169003,45,6,1,0,math
169003,61,8,1,0,math
170403,39,3,1,0,math
170403,43,5,1,0,math
170403,44,8,1,0,math
170404,33,3,1,0,math
170404,43,6,1,0,math
171401,17,2,1,0,math
171401,42,5,1,0,math
171401,48,6,1,0,math
172502,41,2,1,0,math
172502,53,3,1,0,math
172502,53,5,1,0,math
172502,57,7,1,0,math
173001,38,2,1,0,math
173001,39,6,1,0,math
173001,29,8,1,0,math
173201,50,6,1,0,math
174001,44,2,1,0,math
174001,58,4,1,0,math
175405,20,2,1,0,math
175405,29,5,1,0,math
175801,27,3,1,0,math
175801,42,6,1,0,math
175801,49,8,1,0,math
176003,57,3,1,0,math
176003,48,5,1,0,math
178901,24,2,1,0,math
178901,42,6,1,0,math
179401,33,3,1,0,math
179401,47,6,1,0,math
179701,38,3,1,0,math
179701,47,6,1,0,math
179701,51,8,1,0,math
180301,48,3,1,0,math
180301,50,6,1,0,math
180301,80,8,1,0,math
181801,43,4,1,0,math
181801,49,6,1,0,math
182903,50,5,1,0,math
185304,44,3,1,0,math
185304,45,5,1,0,math
187803,37,2,1,0,math
187803,64,6,1,0,math
188002,42,2,1,0,math
188002,58,4,1,0,math
188002,60,8,1,0,math
188502,48,3,1,0,math
188502,64,5,1,0,math
189601,51,3,1,0,math
189601,64,6,1,0,math
189601,65,7,1,0,math
189602,36,3,1,0,math
189602,51,4,1,0,math
189602,72,8,1,0,math
190202,40,3,1,0,math
190202,50,6,1,0,math
190501,68,4,1,0,math
190501,65,6,1,0,math
191202,29,2,1,0,math
191202,42,3,1,0,math
191202,62,5,1,0,math
191202,57,7,1,0,math
193601,13,2,1,0,math
193601,52,4,1,0,math
193601,58,6,1,0,math
193803,41,3,1,0,math
193803,61,5,1,0,math
193803,61,7,1,0,math
196002,31,2,1,0,math
196002,37,4,1,0,math
196201,36,3,1,0,math
196201,52,5,1,0,math
196201,61,7,1,0,math
196202,36,3,1,0,math
196202,50,6,1,0,math
196202,55,8,1,0,math
204602,51,3,1,0,math
204602,59,5,1,0,math
205802,41,3,1,0,math
205802,65,6,1,0,math
205802,81,8,1,0,math
207102,56,3,1,0,math
207102,70,6,1,0,math
207202,39,2,1,0,math
207202,52,5,1,0,math
207202,69,6,1,0,math
207301,49,4,1,0,math
207301,47,6,1,0,math
212001,45,3,1,0,math
212001,66,5,1,0,math
212001,62,7,1,0,math
213101,38,2,1,0,math
213101,42,4,1,0,math
213702,46,4,1,0,math
213702,47,5,1,0,math
213702,63,7,1,0,math
215304,31,3,1,0,math
215304,46,5,1,0,math
215304,64,8,1,0,math
216701,49,3,1,0,math
216701,55,5,1,0,math
217402,43,3,1,0,math
217402,61,6,1,0,math
219003,33,2,1,0,math
219003,56,5,1,0,math
219003,67,7,1,0,math
220401,24,2,1,0,math
220401,63,4,1,0,math
221202,48,3,1,0,math
221202,66,6,1,0,math
223002,61,3,1,0,math
223002,70,5,1,0,math
224901,26,2,1,0,math
224901,35,3,1,0,math
224901,45,7,1,0,math
226001,16,3,1,0,math
226001,43,5,1,0,math
226502,26,3,1,0,math
226502,42,5,1,0,math
226502,48,7,1,0,math
226704,32,3,1,0,math
226704,46,5,1,0,math
226704,51,6,1,0,math
227002,57,4,1,0,math
227002,55,6,1,0,math
227002,46,7,1,0,math
227101,17,3,1,0,math
227101,44,5,1,0,math
227101,46,8,1,0,math
227102,46,4,1,0,math
227102,45,5,1,0,math
227102,71,7,1,0,math
227201,36,4,1,0,math
227201,48,6,1,0,math
227201,53,8,1,0,math
231502,18,3,1,0,math
231502,43,4,1,0,math
233301,42,3,1,0,math
233301,50,6,1,0,math
233901,55,3,1,0,math
233901,62,5,1,0,math
233902,52,3,1,0,math
233902,56,5,1,0,math
235503,29,3,1,0,math
235503,41,5,1,0,math
236002,38,3,1,0,math
236002,43,5,1,0,math
236002,46,6,1,0,math
236201,23,3,1,0,math
236201,44,4,1,0,math
236202,16,2,1,0,math
236202,39,4,1,0,math
236901,45,3,1,0,math
236901,65,6,1,0,math
237501,46,3,1,0,math
237501,61,6,1,0,math
237501,70,8,1,0,math
238301,42,3,1,0,math
238301,50,7,1,0,math
239603,30,3,1,0,math
239603,45,6,1,0,math
239603,46,8,1,0,math
239604,28,2,1,0,math
239604,42,3,1,0,math
239604,46,6,1,0,math
240701,36,3,1,0,math
240701,40,5,1,0,math
240701,49,7,1,0,math
240702,20,2,1,0,math
240702,51,6,1,0,math
244201,42,3,1,0,math
244201,47,4,1,0,math
244702,37,3,1,0,math
244702,47,5,1,0,math
245903,47,3,1,0,math
245903,41,6,1,0,math
248402,27,3,1,0,math
250502,43,3,1,0,math
250502,62,7,1,0,math
252902,29,2,1,0,math
252902,33,5,1,0,math
253001,41,3,1,0,math
253001,42,6,1,0,math
253603,35,3,1,0,math
253603,40,5,1,0,math
253802,39,2,1,0,math
253802,44,4,1,0,math
253802,48,7,1,0,math
253802,58,8,1,0,math
254901,42,4,1,0,math
254901,59,6,1,0,math
255201,47,2,1,0,math
255201,49,4,1,0,math
255901,13,3,1,0,math
255901,38,4,1,0,math
255901,44,7,1,0,math
255902,30,2,1,0,math
255902,41,5,1,0,math
255902,48,6,1,0,math
255903,42,3,1,0,math
255903,51,5,1,0,math
258801,52,3,1,0,math
258801,65,6,1,0,math
260702,48,3,1,0,math
260702,66,4,1,0,math
261501,22,2,1,0,math
261501,38,4,1,0,math
261501,50,6,1,0,math
261502,29,4,1,0,math
261502,51,6,1,0,math
261502,67,7,1,0,math
261503,34,2,1,0,math
261503,47,5,1,0,math
261503,44,6,1,0,math
262601,51,3,1,0,math
262601,53,5,1,0,math
262601,62,7,1,0,math
262602,59,3,1,0,math
262602,64,5,1,0,math
263801,44,3,1,0,math
263801,65,4,1,0,math
265902,39,2,1,0,math
265902,43,4,1,0,math
265902,49,8,1,0,math
268301,32,3,1,0,math
268301,41,4,1,0,math
268303,35,3,1,0,math
268303,46,5,1,0,math
268901,35,2,1,0,math
268901,44,5,1,0,math
268902,44,2,1,0,math
268902,51,6,1,0,math
269001,36,3,1,0,math
269001,46,6,1,0,math
269101,44,3,1,0,math
269101,54,5,1,0,math
269101,58,8,1,0,math
269102,26,3,1,0,math
269102,54,5,1,0,math
269102,58,7,1,0,math
269902,42,3,1,0,math
269902,60,5,1,0,math
271001,34,2,1,0,math
271001,50,6,1,0,math
272903,39,2,1,0,math
272903,51,4,1,0,math
272903,49,6,1,0,math
273501,41,2,1,0,math
273501,51,4,1,0,math
273501,64,6,1,0,math
273501,65,8,1,0,math
274401,41,4,1,0,math
274401,42,6,1,0,math
277002,42,4,1,0,math
277002,50,6,1,0,math
277002,51,8,1,0,math
277003,48,4,1,0,math
277003,48,6,1,0,math
277003,62,8,1,0,math
277502,41,3,1,0,math
277502,50,6,1,0,math
278103,43,3,1,0,math
278103,47,5,1,0,math
278103,75,7,1,0,math
281001,42,3,1,0,math
281001,41,6,1,0,math
281901,43,4,1,0,math
281901,50,6,1,0,math
282602,42,4,1,0,math
282602,63,5,1,0,math
282603,44,3,1,0,math
282603,64,4,1,0,math
287702,61,4,1,0,math
287702,72,6,1,0,math
288501,44,3,1,0,math
288501,64,6,1,0,math
288501,67,8,1,0,math
290901,62,4,1,0,math
290901,76,6,1,0,math
290902,39,2,1,0,math
290902,52,4,1,0,math
291101,44,3,1,0,math
291101,54,5,1,0,math
291101,62,6,1,0,math
294902,59,3,1,0,math
294902,66,5,1,0,math
294902,68,8,1,0,math
294903,45,3,1,0,math
294903,51,6,1,0,math
295901,59,2,1,0,math
295901,60,4,1,0,math
295901,63,6,1,0,math
295902,55,2,1,0,math
295902,59,4,1,0,math
296401,49,4,1,0,math
296401,45,5,1,0,math
296401,73,7,1,0,math
297901,45,4,1,0,math
297901,45,6,1,0,math
297901,53,8,1,0,math
297902,28,2,1,0,math
297902,44,4,1,0,math
297902,62,5,1,0,math
297902,53,8,1,0,math
298301,43,3,1,0,math
298301,44,5,1,0,math
301101,57,3,1,0,math
301101,81,8,1,0,math
301401,52,4,1,0,math
301401,47,6,1,0,math
301401,61,8,1,0,math
302301,38,3,1,0,math
302301,49,6,1,0,math
302702,43,4,1,0,math
302702,47,5,1,0,math
302702,56,7,1,0,math
302703,28,2,1,0,math
302703,43,3,1,0,math
304103,26,2,1,0,math
304103,42,4,1,0,math
304605,31,4,1,0,math
304605,49,6,1,0,math
304605,48,7,1,0,math
307301,43,2,1,0,math
307301,44,4,1,0,math
307301,57,6,1,0,math
307301,58,8,1,0,math
307501,25,3,1,0,math
307501,45,6,1,0,math
309802,54,3,1,0,math
309802,64,5,1,0,math
309901,48,3,1,0,math
309901,44,4,1,0,math
310101,32,2,1,0,math
310101,54,6,1,0,math
311301,38,3,1,0,math
311301,42,5,1,0,math
311701,42,4,1,0,math
312102,41,3,1,0,math
312102,54,5,1,0,math
312201,56,4,1,0,math
312201,58,6,1,0,math
312901,35,2,1,0,math
312901,36,4,1,0,math
312901,46,6,1,0,math
312901,49,8,1,0,math
314501,62,4,1,0,math
314501,67,5,1,0,math
315001,47,4,1,0,math
315001,62,6,1,0,math
315001,65,8,1,0,math
315002,62,4,1,0,math
315002,72,6,1,0,math
315002,80,8,1,0,math
315602,52,3,1,0,math
315602,64,5,1,0,math
316301,39,2,1,0,math
316301,64,5,1,0,math
316501,44,3,1,0,math
316501,56,5,1,0,math
316501,61,7,1,0,math
316502,45,3,1,0,math
316502,50,5,1,0,math
319002,42,4,1,0,math
319801,44,3,1,0,math
319801,45,4,1,0,math
320101,38,2,1,0,math
320101,52,6,1,0,math
320101,53,8,1,0,math
320102,48,3,1,0,math
320102,58,5,1,0,math
322505,43,2,1,0,math
322505,65,4,1,0,math
324401,51,4,1,0,math
324401,67,5,1,0,math
324401,76,7,1,0,math
324402,45,3,1,0,math
324402,60,6,1,0,math
324402,66,7,1,0,math
324801,67,6,1,0,math
325401,25,2,1,0,math
325401,45,4,1,0,math
325401,59,6,1,0,math
325401,52,8,1,0,math
325402,57,3,1,0,math
325402,70,5,1,0,math
325402,71,7,1,0,math
325904,41,6,1,0,math
326901,47,5,1,0,math
326901,50,7,1,0,math
328702,54,3,1,0,math
328702,46,5,1,0,math
328703,40,2,1,0,math
328703,50,4,1,0,math
330601,31,2,1,0,math
330601,40,4,1,0,math
330601,50,7,1,0,math
330601,47,8,1,0,math
331506,20,2,1,0,math
331506,34,3,1,0,math
334201,48,4,1,0,math
334201,46,5,1,0,math
334201,44,7,1,0,math
335001,54,4,1,0,math
335001,53,5,1,0,math
335001,69,7,1,0,math
335002,42,2,1,0,math
335002,50,4,1,0,math
335501,25,2,1,0,math
335501,50,5,1,0,math
336401,39,2,1,0,math
336401,46,4,1,0,math
336401,50,8,1,0,math
336902,40,3,1,0,math
336902,44,6,1,0,math
340702,42,2,1,0,math
340702,62,6,1,0,math
340702,72,8,1,0,math
340801,34,3,1,0,math
340801,42,5,1,0,math
342301,48,3,1,0,math
342301,67,5,1,0,math
342301,67,8,1,0,math
342302,45,3,1,0,math
342302,49,5,1,0,math
342302,68,8,1,0,math
342402,48,3,1,0,math
342402,63,5,1,0,math
342402,64,7,1,0,math
343302,51,4,1,0,math
343302,46,6,1,0,math
344602,28,2,1,0,math
344602,53,4,1,0,math
346501,51,3,1,0,math
346501,53,5,1,0,math
347603,46,4,1,0,math
347603,52,6,1,0,math
348103,36,2,1,0,math
348103,51,4,1,0,math
349101,31,2,1,0,math
349101,59,5,1,0,math
352201,50,4,1,0,math
352201,51,5,1,0,math
353101,43,3,1,0,math
353101,42,5,1,0,math
353102,34,2,1,0,math
353102,44,5,1,0,math
354502,50,3,1,0,math
354502,65,5,1,0,math
354503,46,2,1,0,math
354503,68,6,1,0,math
354801,27,3,1,0,math
354801,45,5,1,0,math
354801,46,6,1,0,math
356402,36,3,1,0,math
356402,46,5,1,0,math
356402,45,7,1,0,math
357203,49,4,1,0,math
357203,68,6,1,0,math
358401,56,4,1,0,math
358401,62,6,1,0,math
358601,46,3,1,0,math
358601,59,6,1,0,math
360901,48,2,1,0,math
360901,57,4,1,0,math
360903,40,2,1,0,math
360903,51,4,1,0,math
362402,63,5,1,0,math
363501,29,3,1,0,math
363501,46,5,1,0,math
364103,35,2,1,0,math
364103,55,5,1,0,math
367903,26,3,1,0,math
367903,43,5,1,0,math
367903,43,6,1,0,math
369702,24,2,1,0,math
369702,50,3,1,0,math
369702,48,7,1,0,math
369704,34,3,1,0,math
369704,43,6,1,0,math
370303,26,2,1,0,math
370303,22,4,1,0,math
371502,32,2,1,0,math
371502,62,6,1,0,math
371503,64,4,1,0,math
371503,64,6,1,0,math
372901,34,2,1,0,math
372901,46,4,1,0,math
373401,44,3,1,0,math
373401,50,6,1,0,math
373401,52,8,1,0,math
373402,43,4,1,0,math
373402,58,6,1,0,math
373701,39,3,1,0,math
373701,48,5,1,0,math
373702,37,2,1,0,math
373702,54,4,1,0,math
374001,54,3,1,0,math
374001,47,6,1,0,math
374601,30,2,1,0,math
374601,54,6,1,0,math
374601,65,8,1,0,math
374603,58,3,1,0,math
374603,71,6,1,0,math
375303,45,3,1,0,math
375303,45,5,1,0,math
375303,49,6,1,0,math
375303,67,8,1,0,math
379301,27,2,1,0,math
379301,39,3,1,0,math
379801,45,3,1,0,math
379805,41,2,1,0,math
379805,57,4,1,0,math
380201,38,2,1,0,math
380201,62,5,1,0,math
380201,65,6,1,0,math
380201,72,8,1,0,math
381701,57,3,1,0,math
381701,69,5,1,0,math
382101,37,3,1,0,math
382101,43,6,1,0,math
389902,46,2,1,0,math
389902,52,5,1,0,math
389902,69,6,1,0,math
389903,47,3,1,0,math
389903,57,4,1,0,math
389903,69,7,1,0,math
389904,56,4,1,0,math
389904,65,8,1,0,math
392102,41,3,1,0,math
392102,57,5,1,0,math
392102,69,7,1,0,math
392103,47,2,1,0,math
392103,44,4,1,0,math
392103,62,6,1,0,math
392301,39,3,1,0,math
392301,63,5,1,0,math
392301,72,7,1,0,math
392303,51,2,1,0,math
392303,56,4,1,0,math
392303,76,8,1,0,math
392401,40,2,1,0,math
392401,64,4,1,0,math
392402,52,2,1,0,math
392402,68,4,1,0,math
396202,30,6,1,0,math
397202,53,2,1,0,math
397202,52,4,1,0,math
399503,30,2,1,0,math
399503,54,5,1,0,math
399503,48,7,1,0,math
400101,56,3,1,0,math
400101,64,5,1,0,math
400101,63,7,1,0,math
403701,43,4,1,0,math
403701,50,5,1,0,math
404503,44,3,1,0,math
404503,57,6,1,0,math
405002,47,3,1,0,math
405002,61,6,1,0,math
405002,67,8,1,0,math
407702,21,3,1,0,math
407702,42,4,1,0,math
407702,43,6,1,0,math
408501,31,3,1,0,math
408501,50,6,1,0,math
411002,41,2,1,0,math
411002,47,5,1,0,math
411002,53,6,1,0,math
413202,47,3,1,0,math
413202,27,5,1,0,math
413202,46,8,1,0,math
413203,37,2,1,0,math
413203,42,4,1,0,math
413203,47,7,1,0,math
413203,44,8,1,0,math
413301,34,2,1,0,math
413301,39,4,1,0,math
419401,19,2,1,0,math
419401,57,5,1,0,math
419401,51,7,1,0,math
420001,30,4,1,0,math
420001,44,5,1,0,math
420001,52,8,1,0,math
421001,44,3,1,0,math
421001,51,6,1,0,math
421001,51,7,1,0,math
422401,45,2,1,0,math
422401,59,5,1,0,math
422401,60,6,1,0,math
424602,52,3,1,0,math
424602,53,5,1,0,math
424602,70,7,1,0,math
425401,43,2,1,0,math
425401,55,5,1,0,math
425401,65,6,1,0,math
425402,34,3,1,0,math
425402,55,5,1,0,math
425402,73,8,1,0,math
425601,51,4,1,0,math
425601,54,6,1,0,math
427502,28,2,1,0,math
427502,38,4,1,0,math
427703,40,4,1,0,math
427703,54,6,1,0,math
431002,40,2,1,0,math
431002,47,5,1,0,math
433901,66,4,1,0,math
433901,65,5,1,0,math
433901,70,7,1,0,math
433902,51,3,1,0,math
433902,58,4,1,0,math
433902,64,6,1,0,math
435201,57,4,1,0,math
435201,71,6,1,0,math
436602,30,3,1,0,math
436602,53,4,1,0,math
436602,54,7,1,0,math
436602,59,8,1,0,math
437201,45,2,1,0,math
437201,61,5,1,0,math
439602,38,4,1,0,math
439602,49,6,1,0,math
439602,51,7,1,0,math
442301,47,3,1,0,math
442301,67,5,1,0,math
442401,44,2,1,0,math
442401,48,4,1,0,math
442401,56,6,1,0,math
442401,69,8,1,0,math
442801,53,2,1,0,math
442801,65,4,1,0,math
443701,50,3,1,0,math
443701,47,5,1,0,math
443701,63,7,1,0,math
443702,40,3,1,0,math
443702,59,5,1,0,math
443902,50,4,1,0,math
443902,55,6,1,0,math
444702,45,3,1,0,math
444702,52,5,1,0,math
448304,38,2,1,0,math
448304,45,5,1,0,math
449401,49,4,1,0,math
449401,57,5,1,0,math
449501,55,4,1,0,math
449501,69,6,1,0,math
449501,74,8,1,0,math
449601,45,3,1,0,math
449601,52,6,1,0,math
449601,46,8,1,0,math
449602,37,2,1,0,math
449602,53,4,1,0,math
449602,67,8,1,0,math
452601,48,3,1,0,math
452601,57,5,1,0,math
453601,50,3,1,0,math
453601,55,5,1,0,math
453601,64,7,1,0,math
453602,25,3,1,0,math
453602,47,5,1,0,math
453801,43,3,1,0,math
453801,63,6,1,0,math
453801,64,8,1,0,math
453802,36,4,1,0,math
453802,52,6,1,0,math
453901,47,2,1,0,math
453901,61,4,1,0,math
453901,63,7,1,0,math
453902,51,3,1,0,math
453902,67,6,1,0,math
456401,28,2,1,0,math
456401,55,3,1,0,math
457002,42,2,1,0,math
457002,63,6,1,0,math
458902,26,3,1,0,math
458902,45,6,1,0,math
459201,52,2,1,0,math
459201,58,4,1,0,math
461402,17,2,1,0,math
461402,38,3,1,0,math
463102,25,2,1,0,math
463102,42,4,1,0,math
463702,53,4,1,0,math
463702,68,6,1,0,math
466201,50,2,1,0,math
466201,63,4,1,0,math
468301,48,3,1,0,math
468301,64,5,1,0,math
468301,70,7,1,0,math
468302,19,2,1,0,math
468302,43,4,1,0,math
468303,44,2,1,0,math
468303,60,4,1,0,math
471701,33,2,1,0,math
471701,64,4,1,0,math
471702,40,2,1,0,math
471702,64,8,1,0,math
472303,43,2,1,0,math
472303,54,4,1,0,math
472303,69,6,1,0,math
474602,45,3,1,0,math
474602,45,6,1,0,math
474602,61,7,1,0,math
474603,44,3,1,0,math
474603,54,4,1,0,math
474603,64,8,1,0,math
474604,28,2,1,0,math
474604,65,6,1,0,math
475401,52,3,1,0,math
475401,76,6,1,0,math
476601,39,2,1,0,math
476601,52,4,1,0,math
478501,30,2,1,0,math
478501,44,4,1,0,math
478501,57,6,1,0,math
480103,53,3,1,0,math
480103,55,5,1,0,math
481502,50,3,1,0,math
481502,58,5,1,0,math
481502,63,7,1,0,math
482002,49,2,1,0,math
